REGIAO:;CO
UF:;GO
ESTACAO:;EDEIA
CODIGO (WMO):;A029
LATITUDE:;-17,33694444
LONGITUDE:;-49,91472222
ALTITUDE:;608
DATA DE FUNDACAO:;26/08/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;1100 UTC;0;945,1;945,1;944,8;1203,8;;;;;;;88;75;77;112;3;1,4;
2026/01/01;1200 UTC;0;945,3;945,3;945,1;1788,3;;;;;;;80;67;68;13;3;,7;
2026/01/01;1300 UTC;0;945,5;945,6;945,3;2524,6;;;;;;;71;57;58;42;2,8;,4;
2026/01/01;1400 UTC;0;945,1;945,6;945,1;3412,5;;;;;;;62;46;53;76;3,5;1;
2026/01/01;1500 UTC;0;944,1;945,1;944,1;3400,9;;;;;;;56;36;41;23;4,1;,6;
2026/01/01;1600 UTC;0;943,8;944,2;943,7;779,5;;;;;;;98;40;89;327;8,3;3,2;
2026/01/01;1700 UTC;0;942,8;943,9;942,8;493,5;;;;;;;95;83;84;308;7,5;2,6;
2026/01/01;1800 UTC;0;941,5;942,8;941,5;583,3;;;;;;;85;68;73;292;4,3;1,1;
2026/01/01;1900 UTC;0;940,8;941,6;940,8;1818;;;;;;;78;42;43;280;3,7;,2;
2026/01/01;2000 UTC;0;940,8;940,8;940,7;1106,5;;;;;;;70;43;67;258;4;,2;
2026/01/01;2100 UTC;0;940,6;940,8;940,6;675;;;;;;;78;64;77;56;3,5;,9;
2026/01/01;2200 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;2300 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0300 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0900 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;1000 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;1100 UTC;0;943,4;943,4;942,8;421,4;;;;;;;100;100;100;55;;,1;
2026/01/02;1200 UTC;0;944,5;944,5;943,4;779,4;;;;;;;100;94;99;122;4,1;2,6;
2026/01/02;1300 UTC;0;944,2;944,8;944,2;934,8;;;;;;;99;85;85;116;5,7;,9;
2026/01/02;1400 UTC;0;943,3;944,2;943,3;2117,8;;;;;;;91;72;76;353;3,1;,1;
2026/01/02;1500 UTC;0;941,7;943,3;941,7;3884,3;;;;;;;78;50;53;265;4,1;1,7;
2026/01/02;1600 UTC;0;940,8;941,7;940,8;3502,8;;;;;;;65;47;65;204;5,3;2,4;
2026/01/02;1700 UTC;0;939,1;940,8;939,1;3373,6;;;;;;;68;47;50;194;6,6;2,8;
2026/01/02;1800 UTC;0;937,9;939,1;937,8;3488,2;;;;;;;58;44;47;313;5,8;,5;
2026/01/02;1900 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;2000 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;2100 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;2200 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;2300 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0200 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0300 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0400 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0500 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0600 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0700 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0800 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0900 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;1000 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;1100 UTC;0;942,1;942,1;941,6;628,7;;;;;;;100;100;100;261;4;,9;
2026/01/03;1200 UTC;0;942,4;942,5;942,1;1571,5;;;;;;;100;100;100;264;6,3;2,8;
2026/01/03;1300 UTC;0;943,1;943,1;942,4;1440,8;;;;;;;100;94;94;259;6,7;3,3;
2026/01/03;1400 UTC;0;942,8;943,1;942,8;2900,3;;;;;;;94;76;82;256;6,2;3,1;
